District Name,District Code,# Graduated,# Completed MassCore,% Completed MassCore
Tri-County Regional Vocational Technical,08780000,     242,     242, 100.0
Triton,07730000,     170,     155,  91.2
Tyngsborough,03010000,     122,     122, 100.0
Upper Cape Cod Regional Vocational Technical,08790000,     157,     157, 100.0
Uxbridge,03040000,     144,     125,  86.8
Wachusett,07750000,     555,     510,  91.9
Wakefield,03050000,     226,     226, 100.0
Walpole,03070000,     294,       9,   3.1
Waltham,03080000,     347,     331,  95.4
Ware,03090000,      67,      67, 100.0
Wareham,03100000,     123,     122,  99.2
Watertown,03140000,     154,     109,  70.8
Wayland,03150000,     207,     171,  82.6
Webster,03160000,     108,      81,  75.0
Wellesley,03170000,     386,     386, 100.0
West Boylston,03220000,      62,      62, 100.0
West Bridgewater,03230000,     101,     101, 100.0
West Springfield,03320000,     267,     170,  63.7
Westborough,03210000,     267,     266,  99.6
Westfield,03250000,     368,     281,  76.4
Westford,03260000,     445,     445, 100.0
Weston,03300000,     195,     195, 100.0
Westport,03310000,      96,      80,  83.3
Westwood,03350000,     261,     255,  97.7
Weymouth,03360000,     449,     220,  49.0
Whitman-Hanson,07800000,     290,     278,  95.9
Whittier Regional Vocational Technical,08850000,     315,     315, 100.0
Wilmington,03420000,     209,     209, 100.0
Winchendon,03430000,      80,      44,  55.0
Winchester,03440000,     306,     263,  85.9
Winthrop,03460000,     154,     154, 100.0
Woburn,03470000,     344,     342,  99.4
Worcester,03480000,"   1,647","   1,507",  91.5
State Totals,00000000,"  68,233","  55,523",  81.4
