District Name,District Code,# Grade Nine Students,# Passing All Courses,% Passing All Courses
Triton,07730000,         162,         137,  84.6
Tyngsborough,03010000,         129,         119,  92.2
Upper Cape Cod Regional Vocational Technical,08790000,         182,         176,  96.7
Uxbridge,03040000,         108,          90,  83.3
Wachusett,07750000,         491,         454,  92.5
Wakefield,03050000,         252,         228,  90.5
Walpole,03070000,         281,         254,  90.4
Waltham,03080000,         421,         323,  76.7
Ware,03090000,          86,          49,  57.0
Wareham,03100000,         131,          76,  58.0
Watertown,03140000,         176,         141,  80.1
Wayland,03150000,         199,         196,  98.5
Webster,03160000,         129,          84,  65.1
Wellesley,03170000,         357,         348,  97.5
West Boylston,03220000,          88,          64,  72.7
West Bridgewater,03230000,         106,          97,  91.5
West Springfield,03320000,         341,         223,  65.4
Westborough,03210000,         314,         301,  95.9
Westfield,03250000,         459,         351,  76.5
Westford,03260000,         401,         397,  99.0
Weston,03300000,         165,         162,  98.2
Westport,03310000,          89,          60,  67.4
Westwood,03350000,         260,         247,  95.0
Weymouth,03360000,         495,         365,  73.7
Whitman-Hanson,07800000,         291,         248,  85.2
Whittier Regional Vocational Technical,08850000,         316,         304,  96.2
Wilmington,03420000,         211,         181,  85.8
Winchendon,03430000,          93,          39,  41.9
Winchester,03440000,         345,         320,  92.8
Winthrop,03460000,         149,         120,  80.5
Woburn,03470000,         343,         303,  88.3
Worcester,03480000,"       1,892","       1,410",  74.5
State Totals,00000000,"      76,801","      61,250",  79.8
