District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Marshfield,01710000,     199,562,,563
Martha's Vineyard,07000000,     126,576,,561
Martha's Vineyard Charter (District),04660000,       3,,,
Masconomet,07050000,     150,584,,597
Mashpee,01720000,     108,541,,529
Maynard,01740000,      46,565,,542
Medfield,01750000,     118,605,,616
Medford,01760000,     136,548,,543
Medway,01770000,     111,568,,575
Melrose,01780000,     175,577,,557
Mendon-Upton,07100000,      95,570,,555
Methuen,01810000,     194,517,,520
Middleborough,01820000,      71,572,,553
Milford,01850000,     141,554,,547
Millbury,01860000,      60,539,,545
Millis,01870000,      57,555,,533
Milton,01890000,     204,567,,579
Minuteman Regional Vocational Technical,08300000,      25,546,,529
Mohawk Trail,07170000,      20,536,,528
Monomoy Regional School District,07120000,      68,573,,558
Monson,01910000,      21,533,,513
Montachusett Regional Vocational Technical,08320000,     100,535,,522
Mount Greylock,07150000,      31,599,,590
Mystic Valley Regional Charter (District),04700000,      56,586,,586
Nantucket,01970000,     109,549,,526
Narragansett,07200000,      18,523,,548
Nashoba,07250000,     114,594,,608
Nashoba Valley Regional Vocational Technical,08520000,      39,517,,497
Natick,01980000,     250,590,,597
Nauset,06600000,     115,585,,561
Needham,01990000,     208,608,,619
New Bedford,02010000,     156,494,,475
Newburyport,02040000,      97,576,,585
Newton,02070000,     551,622,,642
Norfolk County Agricultural,09150000,      34,533,,505
North Adams,02090000,      38,533,,493
North Andover,02110000,     219,572,,575
North Attleborough,02120000,     164,571,,567
North Brookfield,02150000,      16,553,,511
North Middlesex,07350000,      82,555,,532
North Reading,02170000,     112,562,,557
Northampton,02100000,     139,608,,602
Northampton-Smith Vocational Agricultural,04060000,      16,508,,498
Northboro-Southboro,07300000,     192,595,,606
Northbridge,02140000,      45,537,,517
Northeast Metropolitan Regional Vocational Technical,08530000,      79,493,,462
Northern Berkshire Regional Vocational Technical,08510000,      30,503,,481
Norton,02180000,      96,550,,549
Norwell,02190000,     126,602,,585
Norwood,02200000,     102,546,,567
Old Colony Regional Vocational Technical,08550000,      44,529,,522
Old Rochester,07400000,     151,572,,580
Oxford,02260000,      38,523,,506
Palmer,02270000,      28,546,,515
Pathfinder Regional Vocational Technical,08600000,      16,460,,453
Paulo Freire Social Justice Charter School (District),35010000,      14,491,,450
Peabody,02290000,     165,518,,526
Pembroke,02310000,     113,553,,558
Pentucket,07450000,      97,553,,559
Phoenix Academy Public Charter High School Springfield (District),35080000,       3,,,
Phoenix Charter Academy (District),04930000,       2,,,
Pioneer Charter School of Science (District),04940000,      31,559,,604
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      35,562,,625
Pioneer Valley,07500000,      11,605,,573
Pioneer Valley Chinese Immersion Charter (District),04970000,       5,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,      24,564,,512
Pittsfield,02360000,     124,542,,525
Plymouth,02390000,     176,546,,543
Prospect Hill Academy Charter (District),04870000,      44,514,,518
Quabbin,07530000,      64,552,,545
Quaboag Regional,07780000,      21,558,,523
Quincy,02430000,     401,542,,563
Ralph C Mahar,07550000,      17,530,,532
Randolph,02440000,      72,510,,513
Reading,02460000,     178,572,,582
Revere,02480000,     165,534,,544
Rising Tide Charter Public (District),04830000,      27,578,,549
Rockland,02510000,      73,531,,530
Rockport,02520000,      45,571,,550
Roxbury Preparatory Charter (District),04840000,     130,478,,498
Sabis International Charter (District),04410000,      77,528,,519
Salem,02580000,      49,546,,533
Salem Academy Charter (District),04850000,      63,540,,527
Sandwich,02610000,      98,559,,546
Saugus,02620000,      85,517,,515
Scituate,02640000,     154,588,,573
Seekonk,02650000,      64,573,,564
Sharon,02660000,     133,635,,652
Shawsheen Valley Regional Vocational Technical,08710000,      81,522,,500
Shrewsbury,02710000,     315,583,,604
Silver Lake,07600000,     162,568,,573
Sizer School: A North Central Charter Essential (District),04740000,      20,537,,499
Somerset Berkley Regional School District,07630000,     127,551,,562
Somerville,02740000,     141,526,,525
South Hadley,02780000,      84,564,,577
South Middlesex Regional Vocational Technical,08290000,      43,494,,478
South Shore Charter Public (District),04880000,      25,522,,492
South Shore Regional Vocational Technical,08730000,      45,502,,512
Southbridge,02770000,      31,436,,433
Southeastern Regional Vocational Technical,08720000,     125,494,,483
Southern Berkshire,07650000,      17,582,,533
Southern Worcester County Regional Vocational Technical,08760000,      67,520,,512
Southwick-Tolland-Granville Regional School District,07660000,      59,543,,521
Spencer-E Brookfield,07670000,      16,529,,521
Springfield,02810000,     261,493,,487
Stoneham,02840000,      86,563,,559
Stoughton,02850000,     127,536,,520
Sturgis Charter Public (District),04890000,     149,592,,590
Sutton,02900000,      57,552,,543
Swampscott,02910000,     105,571,,581
Swansea,02920000,      53,553,,534
TEC Connections Academy Commonwealth Virtual School District,39020000,      61,572,,552
Tantasqua,07700000,     152,569,,591
Taunton,02930000,     122,551,,530
Tewksbury,02950000,     113,561,,565
Tri-County Regional Vocational Technical,08780000,      78,517,,509
Triton,07730000,      74,541,,551
Tyngsborough,03010000,      62,550,,568
Upper Cape Cod Regional Vocational Technical,08790000,      46,523,,517
Uxbridge,03040000,      48,547,,546
Wachusett,07750000,     288,571,,573
Wakefield,03050000,     147,554,,551
Walpole,03070000,     145,562,,547
Waltham,03080000,     178,539,,542
Ware,03090000,      30,517,,533
Wareham,03100000,      48,508,,498
Watertown,03140000,      89,567,,583
Wayland,03150000,     104,636,,661
Webster,03160000,      57,530,,526
Wellesley,03170000,     179,617,,628
West Boylston,03220000,      30,545,,526
West Bridgewater,03230000,      59,548,,540
West Springfield,03320000,     104,548,,556
Westborough,03210000,     148,604,,619
Westfield,03250000,     130,539,,523
Westford,03260000,     224,622,,641
Weston,03300000,      73,628,,647
Westport,03310000,      19,581,,529
Westwood,03350000,     139,596,,619
Weymouth,03360000,     237,541,,537
Whitman-Hanson,07800000,     135,545,,518
Whittier Regional Vocational Technical,08850000,      79,502,,488
Wilmington,03420000,     120,562,,554
Winchendon,03430000,      31,501,,474
Winchester,03440000,     214,626,,645
Winthrop,03460000,      73,544,,523
Woburn,03470000,     122,545,,555
Worcester,03480000,     498,498,,496
State Totals,00000000,"  32,333",555,,557
