District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Concord-Carlisle,6400000,340,285,83.8,0,59.6,6.3,34,5.6,1.8,11.6
Danvers,710000,234,190,81.2,0,44.7,12.6,42.6,11.6,21.6,10.5
Dartmouth,720000,249,204,81.9,0,28.9,17.2,53.9,16.2,15.7,31.4
Dedham,730000,184,138,75,0,40.6,16.7,42.8,16.7,11.6,17.4
Dennis-Yarmouth,6450000,192,132,68.8,0,25.8,35.6,38.6,35.6,15.9,13.6
Dighton-Rehoboth,6500000,197,147,74.6,0,34.7,18.4,46.9,17.7,19,18.4
Douglas,770000,101,82,81.2,0,29.3,24.4,46.3,23.2,26.8,12.2
Dover-Sherborn,6550000,149,135,90.6,0,69.6,1.5,28.9,1.5,1.5,9.6
Dracut,790000,210,181,86.2,0,32,30.9,37,29.3,3.3,24.3
Dudley-Charlton Reg,6580000,269,197,73.2,0,37.6,19.8,42.6,17.3,17.3,14.7
Duxbury,820000,255,225,88.2,0,54.2,2.7,43.1,2.2,7.6,16.9
East Bridgewater,830000,134,104,77.6,0,47.1,13.5,39.4,13.5,20.2,11.5
East Longmeadow,870000,219,181,82.6,0,37,37,26,27.6,10.5,11
Easthampton,860000,118,80,67.8,0,35,46.3,18.8,46.3,5,11.3
Easton,880000,298,253,84.9,0,41.1,7.5,50.6,7.5,13.8,21.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,84,71,84.5,0,21.1,33.8,45.1,33.8,8.5,35.2
Essex North Shore Agricultural and Technical School District,8170000,322,212,65.8,0,35.4,14.6,50,14.2,20.3,12.7
Everett,930000,463,269,58.1,0,23.8,38.7,37.5,38.3,12.3,23
Excel Academy Charter (District),4100000,92,79,85.9,0,40.5,12.7,46.8,12.7,16.5,27.8
Fairhaven,940000,129,104,80.6,0,26,21.2,52.9,21.2,13.5,28.8
Fall River,950000,473,231,48.8,0,12.6,48.1,38.5,45.5,13.4,22.5
Falmouth,960000,190,157,82.6,0,36.9,20.4,42.7,20.4,17.8,11.5
Fitchburg,970000,382,166,43.5,0,17.5,45.2,37.3,42.8,26.5,9.6
Four Rivers Charter Public (District),4130000,29,23,79.3,0,39.1,34.8,26.1,34.8,4.3,13
Foxborough,990000,205,167,81.5,0,44.9,4.8,49.7,4.8,17.4,18
Foxborough Regional Charter (District),4460000,63,55,87.3,0,41.8,12.7,45.5,10.9,12.7,27.3
Framingham,1000000,546,383,70.1,0,28.2,23.5,48.3,22.2,17.5,18.3
Francis W. Parker Charter Essential (District),4780000,58,54,93.1,0,50,13,37,11.1,7.4,24.1
Franklin,1010000,421,372,88.4,0,42.5,5.1,52.4,3.5,14.8,18.3
Franklin County Regional Vocational Technical,8180000,118,37,31.4,0,16.2,67.6,16.2,67.6,5.4,2.7
Freetown-Lakeville,6650000,186,152,81.7,0,28.3,27.6,43.4,27,16.4,17.1
Frontier,6700000,94,64,68.1,0,40.6,29.7,29.7,29.7,7.8,10.9
Gardner,1030000,112,82,73.2,0,9.8,51.2,39,51.2,22,9.8
Gateway,6720000,41,28,68.3,0,53.6,14.3,32.1,14.3,25,3.6
Georgetown,1050000,101,83,82.2,0,30.1,20.5,49.4,20.5,9.6,20.5
Gill-Montague,6740000,46,30,65.2,0,13.3,53.3,33.3,53.3,16.7,13.3
Global Learning Charter Public (District),4960000,44,35,79.5,0,11.4,60,28.6,60,5.7,22.9
Gloucester,1070000,212,113,53.3,0,31,23,46,22.1,15.9,16.8
Grafton,1100000,221,190,86,0,42.6,14.2,42.6,14.2,10,14.7
Granby,1110000,48,32,66.7,0,40.6,31.3,28.1,31.3,9.4,6.3
Greater Fall River Regional Vocational Technical,8210000,314,164,52.2,0,17.1,57.3,25.6,56.1,2.4,17.1
Greater Lawrence Regional Vocational Technical,8230000,350,158,45.1,0,12,67.7,20.3,66.5,12,7.6
Greater Lowell Regional Vocational Technical,8280000,503,223,44.3,0,15.2,62.8,22,62.3,6.3,14.3
Greater New Bedford Regional Vocational Technical,8250000,475,241,50.7,0.4,13.3,58.1,27.4,56.4,7.9,17.4
Greenfield,1140000,81,49,60.5,0,24.5,44.9,30.6,44.9,14.3,10.2
Greenfield Commonwealth Virtual District,39010000,32,14,43.8,0,21.4,64.3,14.3,57.1,7.1,7.1
Groton-Dunstable,6730000,202,182,90.1,0,35.2,11.5,53.3,11.5,9.9,27.5
Hadley,1170000,50,37,74,0,40.5,27,32.4,27,2.7,24.3
Hamilton-Wenham,6750000,144,128,88.9,0,53.1,7.8,39.1,7,3.9,11.7
Hampden Charter School of Science East (District),4990000,36,33,91.7,0,39.4,39.4,21.2,39.4,12.1,3
Hampden-Wilbraham,6800000,289,240,83,0,43.8,24.2,32.1,20,10,12.1
Hampshire,6830000,85,68,80,0,32.4,39.7,27.9,39.7,10.3,8.8
Hanover,1220000,213,190,89.2,0,51.1,5.8,43.2,5.8,15.3,15.3
Harvard,1250000,105,90,85.7,0,58.9,2.2,38.9,2.2,4.4,12.2
Hatfield,1270000,28,23,82.1,0,21.7,43.5,34.8,43.5,21.7,4.3
Haverhill,1280000,377,238,63.1,0,25.6,38.7,35.7,37,9.2,17.2
Hingham,1310000,275,236,85.8,0,60.6,4.7,34.7,4.7,2.5,12.3
Holbrook,1330000,54,42,77.8,0,19,50,31,50,4.8,23.8
Holliston,1360000,174,154,88.5,0,51.9,3.2,44.8,3.2,6.5,13
Holyoke,1370000,302,164,54.3,0,26.8,60.4,12.8,58.5,10.4,1.8
Hopedale,1380000,75,57,76,0,40.4,12.3,47.4,8.8,17.5,7
Hopkinton,1390000,282,249,88.3,0,46.2,1.2,52.6,1.2,7.6,14.1
Hudson,1410000,176,131,74.4,0,29.8,22.1,48.1,21.4,15.3,14.5
Hull,1420000,74,50,67.6,0,32,8,60,8,22,30
Innovation Academy Charter (District),4350000,94,79,84,0,44.3,20.3,35.4,20.3,11.4,19
Ipswich,1440000,117,90,76.9,0,35.6,13.3,51.1,13.3,13.3,15.6
KIPP Academy Lynn Charter (District),4290000,108,88,81.5,0,37.5,19.3,43.2,19.3,21.6,19.3
King Philip,6900000,318,276,86.8,0,41.7,6.5,51.8,5.8,12.3,19.2
Kingston,1450000,2,,,,,,,,,
Lawrence,1490000,697,373,53.5,0.3,13.7,66.8,19.3,64.1,7.5,11.5
Lee,1500000,56,36,64.3,0,36.1,36.1,27.8,33.3,13.9,8.3
Leicester,1510000,98,79,80.6,0,24.1,21.5,54.4,21.5,29.1,19
Lenox,1520000,49,41,83.7,0,34.1,29.3,36.6,29.3,4.9,14.6
Leominster,1530000,421,255,60.6,0.4,22.7,27.8,49,27.1,18.8,23.5
Lexington,1550000,552,451,81.7,0,55,2.9,42.1,2.7,0.7,21.5
Lincoln-Sudbury,6950000,375,327,87.2,0,61.2,2.8,36.1,2.4,2.1,12.8
Littleton,1580000,115,98,85.2,0,49,11.2,39.8,11.2,6.1,17.3
Longmeadow,1590000,248,216,87.1,0,62,12.5,25.5,10.6,8.8,8.8
Lowell,1600000,714,503,70.4,0,15.7,43.3,41,42.1,5.6,31.2
Lowell Middlesex Academy Charter (District),4580000,14,,,,,,,,,
Ludlow,1610000,199,154,77.4,0,35.7,37.7,26.6,37.7,11.7,12.3
Lunenburg,1620000,103,84,81.6,0,22.6,16.7,60.7,16.7,20.2,21.4
Lynn,1630000,947,514,54.3,0,16,47.5,36.6,45.1,21.2,14
Lynnfield,1640000,167,149,89.2,0.7,46.3,7.4,45.6,6.7,7.4,13.4
MATCH Charter Public School (District),4690000,58,53,91.4,0,28.3,18.9,52.8,18.9,22.6,28.3
Ma Academy for Math and Science,4680000,49,46,93.9,0,71.7,0,28.3,0,0,10.9
Malden,1650000,427,295,69.1,0,29.2,33.6,37.3,33.6,8.1,27.5
Manchester Essex Regional,6980000,103,83,80.6,0,45.8,7.2,47,7.2,4.8,25.3
Mansfield,1670000,321,279,86.9,0,36.6,9.3,54.1,9.3,14,20.8
Map Academy Charter School (District),35170000,8,,,,,,,,,
Marblehead,1680000,262,231,88.2,0,49.8,6.1,44.2,5.6,5.6,9.1
Marlborough,1700000,284,163,57.4,0,34.4,20.9,44.8,20.9,14.1,19.6
Marshfield,1710000,334,280,83.8,0.4,41.4,9.3,48.9,8.9,14.6,18.6
Martha's Vineyard,7000000,145,97,66.9,0,57.7,11.3,30.9,9.3,7.2,8.2
Martha's Vineyard Charter (District),4660000,7,,,,,,,,,
Masconomet,7050000,268,241,89.9,0,51,9.5,39.4,9.5,2.9,14.5
Mashpee,1720000,105,81,77.1,0,21,22.2,56.8,22.2,13.6,24.7
Maynard,1740000,91,76,83.5,0,32.9,21.1,46.1,21.1,13.2,13.2
Medfield,1750000,189,169,89.4,0,56.2,3,40.8,2.4,4.7,13.6
Medford,1760000,341,235,68.9,0,26.8,30.6,42.6,30.6,9.4,26.4
Medway,1770000,179,162,90.5,0,42.6,4.3,53.1,3.7,11.1,22.8
Melrose,1780000,256,231,90.2,0,43.3,12.1,44.6,12.1,8.7,18.6
Mendon-Upton,7100000,156,134,85.9,0,54.5,5.2,40.3,5.2,11.9,16.4
Methuen,1810000,482,329,68.3,0,28,35.9,36.2,35.6,10.9,20.1
Middleborough,1820000,171,114,66.7,0,22.8,21.1,56.1,21.1,29.8,12.3
Milford,1850000,262,179,68.3,0,27.9,15.6,56.4,15.6,23.5,21.2
Millbury,1860000,102,65,63.7,0,30.8,18.5,50.8,18.5,26.2,18.5
Millis,1870000,96,83,86.5,0,51.8,6,42.2,6,13.3,13.3
Milton,1890000,240,211,87.9,0,49.3,9,41.7,7.1,8.5,20.9
Minuteman Regional Vocational Technical,8300000,115,67,58.3,0,41.8,25.4,32.8,23.9,9,16.4
Mohawk Trail,7170000,60,45,75,0,24.4,46.7,28.9,44.4,8.9,15.6
Monomoy Regional School District,7120000,113,92,81.4,0,34.8,29.3,35.9,27.2,9.8,12
Monson,1910000,67,54,80.6,0,42.6,44.4,13,44.4,5.6,1.9
Montachusett Regional Vocational Technical,8320000,313,169,54,0,21.9,37.3,40.8,36.7,27.8,10.7
Mount Greylock,7150000,84,70,83.3,0,67.1,5.7,27.1,4.3,4.3,10
Mystic Valley Regional Charter (District),4700000,88,82,93.2,0,34.1,3.7,62.2,3.7,9.8,40.2
Nantucket,1970000,129,90,69.8,0,51.1,8.9,40,8.9,11.1,7.8
Narragansett,7200000,82,49,59.8,0,14.3,40.8,44.9,40.8,30.6,12.2
Nashoba,7250000,240,214,89.2,0,53.7,7.9,38.3,7.5,7,15
Nashoba Valley Regional Vocational Technical,8520000,165,94,57,0,35.1,29.8,35.1,28.7,18.1,10.6
Natick,1980000,372,305,82,0,39,9.2,51.8,9.2,9.2,19.7
Nauset,6600000,241,191,79.3,0,38.7,22.5,38.7,21.5,7.9,14.1
Needham,1990000,443,393,88.7,0,52.7,4.8,42.5,4.8,1.3,20.6
New Bedford,2010000,407,171,42,1.2,12.9,50.9,35.1,50.3,14,18.7
Newburyport,2040000,180,141,78.3,0,44,7.8,48.2,7.1,7.8,10.6
Newton,2070000,966,790,81.8,0,61.1,5.3,33.5,4.8,3.3,14.8
Norfolk County Agricultural,9150000,137,99,72.3,0,24.2,27.3,48.5,26.3,13.1,6.1
North Adams,2090000,80,41,51.3,0,29.3,9.8,61,7.3,53.7,7.3
North Andover,2110000,398,350,87.9,0,42.9,13.1,44,12.9,2.3,20
North Attleborough,2120000,274,239,87.2,0,38.5,15.1,46,13.8,13.8,18.4
North Brookfield,2150000,35,19,54.3,0,36.8,21.1,42.1,21.1,15.8,15.8
North Middlesex,7350000,184,147,79.9,0,36.7,11.6,51.7,8.8,23.1,17
North Reading,2170000,187,156,83.4,0,46.8,7.7,45.5,7.1,7.7,16
Northampton,2100000,209,162,77.5,0,50,17.3,32.7,17.3,11.7,11.7
Northampton-Smith Vocational Agricultural,4060000,123,48,39,0,18.8,62.5,18.8,58.3,16.7,0
Northboro-Southboro,7300000,364,331,90.9,0,50.2,6.3,43.5,6,8.8,14.8
Northbridge,2140000,130,96,73.8,0,32.3,17.7,50,15.6,26,13.5
Northeast Metropolitan Regional Vocational Technical,8530000,287,141,49.1,0,25.5,41.8,32.6,41.8,12.8,14.2
Northern Berkshire Regional Vocational Technical,8510000,108,44,40.7,0,27.3,31.8,40.9,27.3,34.1,0
Norton,2180000,183,143,78.1,0,30.8,14,55.2,12.6,21,18.2
Norwell,2190000,172,155,90.1,0,47.1,3.9,48.4,3.9,5.2,19.4
Norwood,2200000,237,177,74.7,0,44.6,16.9,38.4,16.4,13,16.4
Old Colony Regional Vocational Technical,8550000,128,73,57,0,27.4,38.4,34.2,38.4,20.5,12.3
Old Rochester,7400000,186,167,89.8,0,38.3,11.4,50.3,11.4,15,21
Oxford,2260000,90,54,60,0,18.5,37,44.4,37,25.9,14.8
Palmer,2270000,101,67,66.3,0,34.3,40.3,25.4,38.8,10.4,10.4
Pathfinder Regional Vocational Technical,8600000,122,42,34.4,0,28.6,64.3,7.1,61.9,7.1,0
Paulo Freire Social Justice Charter School (District),35010000,58,32,55.2,0,18.8,56.3,25,56.3,18.8,0
Peabody,2290000,339,242,71.4,0,33.9,21.1,45,21.1,26,10.7
Pembroke,2310000,225,170,75.6,0,30.6,13.5,55.9,12.9,18.8,16.5
Pentucket,7450000,150,136,90.7,0,28.7,18.4,52.9,18.4,5.9,19.9
Phoenix Academy Public Charter High School Lawrence (District),35180000,10,,,,,,,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,14,,,,,,,,,
Phoenix Charter Academy (District),4930000,16,8,50,0,25,75,0,62.5,0,0
Pioneer Charter School of Science (District),4940000,37,34,91.9,0,55.9,11.8,32.4,11.8,5.9,26.5
Pioneer Charter School of Science II (PCSS-II) (District),35060000,45,38,84.4,0,57.9,15.8,26.3,15.8,7.9,18.4
Pioneer Valley,7500000,58,44,75.9,0,22.7,52.3,25,50,9.1,6.8
Pioneer Valley Chinese Immersion Charter (District),4970000,15,12,80,0,58.3,8.3,33.3,8.3,0,25
Pioneer Valley Performing Arts Charter Public (District),4790000,61,53,86.9,0,54.7,26.4,18.9,24.5,7.5,3.8
Pittsfield,2360000,350,248,70.9,1.6,26.6,46.4,25.4,45.6,14.5,6.9
Plymouth,2390000,571,390,68.3,0.3,34.4,23.8,41.5,23.3,14.6,15.1
Prospect Hill Academy Charter (District),4870000,66,64,97,0,57.8,4.7,37.5,4.7,25,12.5
Quabbin,7530000,136,103,75.7,0,31.1,22.3,45.6,21.4,13.6,14.6
Quaboag Regional,7780000,98,60,61.2,0,30,21.7,48.3,18.3,21.7,20
Quincy,2430000,703,527,75,0,34.3,15,50.7,14.4,10.8,36.6
Ralph C Mahar,7550000,158,109,69,0,18.3,57.8,23.9,55,14.7,9.2
Randolph,2440000,143,98,68.5,0,27.6,32.7,39.8,31.6,8.2,23.5
Reading,2460000,331,289,87.3,0,52.6,5.5,41.9,5.2,5.2,21.5
Revere,2480000,458,304,66.4,0,27,40.1,32.9,39.5,12.2,19.7
Rising Tide Charter Public (District),4830000,64,51,79.7,0,49,2,49,2,17.6,21.6
Rockland,2510000,118,89,75.4,0,28.1,23.6,48.3,23.6,24.7,16.9
Rockport,2520000,83,62,74.7,1.6,43.5,8.1,46.8,6.5,17.7,14.5
Roxbury Preparatory Charter (District),4840000,70,62,88.6,0,32.3,8.1,59.7,6.5,24.2,33.9
Sabis International Charter (District),4410000,110,91,82.7,0,40.7,40.7,18.7,40.7,3.3,13.2
Salem,2580000,227,141,62.1,0,22.7,29.1,48.2,27,31.9,11.3
Salem Academy Charter (District),4850000,50,43,86,0,37.2,4.7,58.1,4.7,41.9,16.3
Sandwich,2610000,161,127,78.9,0,40.2,17.3,42.5,16.5,15,15
Saugus,2620000,159,126,79.2,0,31.7,15.1,53.2,15.1,20.6,23
Scituate,2640000,210,186,88.6,0,53.2,5.4,41.4,3.2,4.3,19.4
Seekonk,2650000,157,128,81.5,0,28.1,14.1,55.5,13.3,11.7,17.2
Sharon,2660000,287,249,86.8,0,49.4,4.8,45.8,4.4,1.6,22.1
Shawsheen Valley Regional Vocational Technical,8710000,303,183,60.4,0,28.4,38.3,33.3,36.6,10.9,14.2
Shrewsbury,2710000,430,387,90,0,41.6,11.1,47.3,10.6,10.3,19.9
Silver Lake,7600000,256,196,76.6,0,42.3,14.3,43.4,14.3,14.8,13.8
Sizer School: A North Central Charter Essential (District),4740000,36,26,72.2,0,7.7,53.8,38.5,50,30.8,3.8
Somerset Berkley Regional School District,7630000,251,191,76.1,0,24.6,26.7,48.7,25.7,13.6,26.7
Somerville,2740000,300,195,65,0,25.1,32.3,42.6,32.3,9.7,26.2
South Hadley,2780000,127,97,76.4,0,42.3,27.8,29.9,26.8,2.1,14.4
South Middlesex Regional Vocational Technical,8290000,155,53,34.2,0,20.8,37.7,41.5,35.8,28.3,7.5
South Shore Charter Public (District),4880000,61,49,80.3,0,34.7,22.4,42.9,22.4,12.2,22.4
South Shore Regional Vocational Technical,8730000,156,51,32.7,0,37.3,35.3,27.5,31.4,23.5,0
Southborough,2760000,1,,,,,,,,,
Southbridge,2770000,101,44,43.6,2.3,29.5,40.9,27.3,40.9,15.9,11.4
Southeastern Regional Vocational Technical,8720000,344,196,57,0,28.6,30.6,38.8,29.1,22.4,14.3
Southern Berkshire,7650000,39,27,69.2,0,29.6,40.7,29.6,25.9,7.4,7.4
Southern Worcester County Regional Vocational Technical,8760000,267,141,52.8,0,37.6,33.3,29.1,30.5,19.1,7.1
Southwick-Tolland-Granville Regional School District,7660000,120,88,73.3,0,30.7,23.9,45.5,22.7,22.7,10.2
Spencer-E Brookfield,7670000,88,57,64.8,0,33.3,28.1,38.6,28.1,21.1,12.3
Springfield,2810000,1469,741,50.4,0.4,21.2,61.8,16.6,59.2,9.6,3.8
Stoneham,2840000,169,137,81.1,0,41.6,8.8,49.6,8.8,17.5,20.4
Stoughton,2850000,256,208,81.3,0,31.3,21.6,47.1,20.7,14.4,24.5
Sturgis Charter Public (District),4890000,194,181,93.3,0,42,14.4,43.6,14.4,7.2,21
Sutton,2900000,100,91,91,0,37.4,11,51.6,11,26.4,7.7
Swampscott,2910000,168,155,92.3,0,51.6,7.7,40.6,7.1,10.3,12.3
Swansea,2920000,130,98,75.4,0,24.5,22.4,51,19.4,10.2,29.6
TEC Connections Academy Commonwealth Virtual School District,39020000,237,86,36.3,0,29.1,45.3,25.6,38.4,8.1,4.7
Tantasqua,7700000,258,165,64,0,35.2,21.8,43,21.2,17,13.3
Taunton,2930000,495,317,64,0,27.1,27.8,44.8,27.8,20.5,20.8
Tewksbury,2950000,242,200,82.6,0,36,10,54,10,15.5,24.5
Tri-County Regional Vocational Technical,8780000,242,115,47.5,0,34.8,29.6,35.7,22.6,15.7,10.4
Triton,7730000,170,130,76.5,0,43.8,16.9,39.2,14.6,11.5,10
Tyngsborough,3010000,122,107,87.7,0,30.8,19.6,49.5,19.6,8.4,23.4
Upper Cape Cod Regional Vocational Technical,8790000,157,86,54.8,0,25.6,37.2,37.2,37.2,19.8,12.8
Uxbridge,3040000,144,111,77.1,0,27.9,36,36,35.1,13.5,9.9
Wachusett,7750000,555,475,85.6,0,38.3,17.3,44.4,16.8,18.1,14.1
Wakefield,3050000,226,186,82.3,0,47.3,10.2,42.5,9.7,7,23.7
Walpole,3070000,294,257,87.4,0,44.7,12.5,42.8,11.3,8.2,19.8
Waltham,3080000,347,234,67.4,0,36.3,25.2,38.5,24.8,15.8,15.4
Ware,3090000,67,41,61.2,0,29.3,22,48.8,19.5,29.3,9.8
Wareham,3100000,123,59,48,0,23.7,28.8,47.5,28.8,13.6,23.7
Watertown,3140000,154,114,74,0,39.5,15.8,44.7,15.8,9.6,26.3
Wayland,3150000,207,191,92.3,0,66,3.1,30.9,2.6,4.2,15.2
Webster,3160000,108,58,53.7,0,32.8,20.7,46.6,20.7,27.6,12.1
Wellesley,3170000,386,324,83.9,0,71.3,4.6,24.1,3.7,0.3,4.3
West Boylston,3220000,62,48,77.4,0,43.8,12.5,43.8,10.4,20.8,14.6
West Bridgewater,3230000,101,80,79.2,0,37.5,15,47.5,15,21.3,17.5
West Springfield,3320000,267,193,72.3,0,26.9,53.4,19.7,50.8,9.3,6.7
Westborough,3210000,267,240,89.9,0,44.6,5.4,50,5,9.6,21.3
Westfield,3250000,368,235,63.9,0,32.8,34.9,32.3,33.6,18.3,8.1
Westford,3260000,445,405,91,0,40.7,8.1,51.1,7.2,7.2,21.7
Weston,3300000,195,173,88.7,0,73.4,2.3,24.3,1.7,1.2,7.5
Westport,3310000,96,71,74,0,26.8,31,39.4,31,12.7,22.5
Westwood,3350000,261,247,94.6,0,59.5,1.2,39.3,1.2,3.2,20.6
Weymouth,3360000,449,304,67.7,0,32.6,23.7,43.8,23.4,14.1,19.7
Whitman-Hanson,7800000,290,215,74.1,0,37.2,24.7,37.7,24.2,19.5,10.2
Whittier Regional Vocational Technical,8850000,315,165,52.4,0,26.7,50.3,23,47.3,6.1,8.5
Wilmington,3420000,209,174,83.3,0,40.2,11.5,48.3,11.5,14.4,19
Winchendon,3430000,80,34,42.5,0,17.6,29.4,52.9,29.4,26.5,8.8
Winchester,3440000,306,269,87.9,0,56.5,4.8,38.7,4.5,1.9,19.3
Winthrop,3460000,154,120,77.9,0,31.7,24.2,44.2,24.2,17.5,15.8
Woburn,3470000,344,262,76.2,0,30.5,22.5,46.9,22.1,12.2,24.8
Worcester,3480000,1647,992,60.2,0.1,23.3,36.8,39.8,36.1,22.7,14.2
State Totals,0,68233,49233,72.2,0.1,37.2,22.6,40,21.8,11.7,17.2
