District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Greater Fall River Regional Vocational Technical,08210000,       320,    97.8,     0.6,     0.0,     0.0,     1.6,     0.0
Greater Lawrence Regional Vocational Technical,08230000,       364,    95.6,     1.6,     0.5,     0.0,     2.2,     0.0
Greater Lowell Regional Vocational Technical,08280000,       519,    95.4,     1.3,     0.2,     0.4,     2.7,     0.0
Greater New Bedford Regional Vocational Technical,08250000,       516,    89.7,     2.9,     0.2,     0.0,     7.2,     0.0
Greenfield,01140000,        88,    88.6,     3.4,     4.5,     0.0,     3.4,     0.0
Greenfield Commonwealth Virtual District,39010000,       104,    27.9,    14.4,     1.0,    10.6,    46.2,     0.0
Groton-Dunstable,06730000,       207,    97.6,     1.9,     0.0,     0.0,     0.5,     0.0
Hadley,01170000,        54,    90.7,     3.7,     3.7,     1.9,     0.0,     0.0
Hamilton-Wenham,06750000,       153,    94.1,     3.9,     0.7,     0.0,     1.3,     0.0
Hampden Charter School of Science East (District),04990000,        37,    94.6,     2.7,     0.0,     0.0,     2.7,     0.0
Hampden-Wilbraham,06800000,       302,    94.4,     1.7,     0.3,     1.3,     2.0,     0.3
Hampshire,06830000,        96,    89.6,     5.2,     0.0,     2.1,     3.1,     0.0
Hanover,01220000,       222,    96.8,     3.2,     0.0,     0.0,     0.0,     0.0
Harvard,01250000,       106,    99.1,     0.9,     0.0,     0.0,     0.0,     0.0
Hatfield,01270000,        27,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Haverhill,01280000,       450,    81.1,     6.4,     2.2,     0.9,     9.3,     0.0
Hingham,01310000,       287,    95.8,     3.5,     0.0,     0.0,     0.7,     0.0
Holbrook,01330000,        68,    72.1,    14.7,     2.9,     1.5,     8.8,     0.0
Holliston,01360000,       187,    92.0,     3.7,     0.0,     2.1,     2.1,     0.0
Holyoke,01370000,       395,    72.2,     8.4,     4.3,     0.8,    14.4,     0.0
Hopedale,01380000,        79,    94.9,     1.3,     0.0,     0.0,     3.8,     0.0
Hopkinton,01390000,       287,    98.3,     1.4,     0.3,     0.0,     0.0,     0.0
Hudson,01410000,       192,    87.5,     5.2,     0.0,     2.1,     4.7,     0.5
Hull,01420000,        75,    92.0,     8.0,     0.0,     0.0,     0.0,     0.0
Innovation Academy Charter (District),04350000,        93,    94.6,     2.2,     0.0,     2.2,     1.1,     0.0
Ipswich,01440000,       125,    92.8,     4.8,     0.0,     0.0,     2.4,     0.0
King Philip,06900000,       323,    96.3,     1.9,     0.3,     0.0,     1.5,     0.0
KIPP Academy Lynn Charter (District),04290000,       114,    90.4,     3.5,     0.9,     1.8,     3.5,     0.0
Lawrence,01490000,       914,    71.4,     9.8,     7.0,     0.1,    11.6,     0.0
Lee,01500000,        62,    90.3,     4.8,     1.6,     0.0,     3.2,     0.0
Leicester,01510000,       105,    91.4,     1.0,     0.0,     1.0,     6.7,     0.0
Lenox,01520000,        50,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Leominster,01530000,       441,    90.5,     3.9,     1.6,     0.9,     3.2,     0.0
Lexington,01550000,       558,    97.3,     2.7,     0.0,     0.0,     0.0,     0.0
Lincoln-Sudbury,06950000,       383,    97.1,     2.6,     0.0,     0.0,     0.3,     0.0
Littleton,01580000,       118,    94.9,     4.2,     0.0,     0.0,     0.8,     0.0
Longmeadow,01590000,       251,    97.6,     2.0,     0.0,     0.0,     0.4,     0.0
Lowell,01600000,       851,    78.0,     9.4,     2.9,     0.7,     8.9,     0.0
Lowell Middlesex Academy Charter (District),04580000,        51,    13.7,    37.3,     0.0,     7.8,    41.2,     0.0
Ludlow,01610000,       219,    90.0,     0.9,     3.7,     0.9,     4.6,     0.0
Lunenburg,01620000,       108,    94.4,     3.7,     0.0,     0.9,     0.9,     0.0
Lynn,01630000,"     1,204",    74.8,     8.1,     2.8,     0.8,    13.5,     0.0
Lynnfield,01640000,       170,    96.5,     2.4,     0.0,     0.0,     1.2,     0.0
Ma Academy for Math and Science,04680000,        49,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Malden,01650000,       513,    79.5,     9.2,     2.5,     0.2,     8.6,     0.0
Manchester Essex Regional,06980000,       102,    98.0,     2.0,     0.0,     0.0,     0.0,     0.0
Mansfield,01670000,       330,    95.8,     3.6,     0.0,     0.0,     0.6,     0.0
Map Academy Charter School (District),35170000,        20,    20.0,    55.0,     0.0,     5.0,    20.0,     0.0
Marblehead,01680000,       269,    95.5,     3.7,     0.4,     0.4,     0.0,     0.0
Marlborough,01700000,       326,    81.3,     6.7,     2.5,     0.0,     9.5,     0.0
Marshfield,01710000,       345,    95.4,     2.0,     0.3,     0.3,     2.0,     0.0
Martha's Vineyard,07000000,       162,    85.2,     4.3,     0.0,     1.9,     8.6,     0.0
Martha's Vineyard Charter (District),04660000,         9,    77.8,     0.0,     0.0,    11.1,    11.1,     0.0
Masconomet,07050000,       275,    96.0,     2.2,     0.0,     0.0,     1.8,     0.0
Mashpee,01720000,       116,    91.4,     3.4,     0.0,     0.0,     5.2,     0.0
MATCH Charter Public School (District),04690000,        59,    78.0,    18.6,     0.0,     0.0,     3.4,     0.0
Maynard,01740000,       100,    89.0,     7.0,     0.0,     0.0,     4.0,     0.0
Medfield,01750000,       194,    96.4,     2.6,     0.5,     0.0,     0.5,     0.0
Medford,01760000,       372,    89.5,     5.1,     1.6,     0.5,     3.2,     0.0
Medway,01770000,       179,    97.8,     1.1,     0.0,     0.0,     1.1,     0.0
Melrose,01780000,       266,    95.1,     3.0,     0.8,     0.0,     1.1,     0.0
Mendon-Upton,07100000,       163,    93.9,     2.5,     0.0,     0.6,     3.1,     0.0
Methuen,01810000,       542,    88.4,     3.1,     3.9,     0.7,     3.9,     0.0
Middleborough,01820000,       197,    88.8,     3.6,     0.0,     0.5,     6.1,     1.0
Milford,01850000,       288,    86.5,     4.2,     0.3,     0.3,     8.7,     0.0
