District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Sturbridge,02870000,  96.1,   4.2,   7.6,   6.5,   7.4
Sturgis Charter Public (District),04890000,  94.7,   5.8,  18.0,  11.3,   8.6
Sudbury,02880000,  96.4,   3.9,   7.7,   5.6,   0.7
Sunderland,02890000,  94.4,   6.0,  21.3,  13.9,   0.0
Sutton,02900000,  96.1,   4.2,   8.6,   6.5,   1.2
Swampscott,02910000,  95.3,   5.1,  13.2,  10.0,   9.3
Swansea,02920000,  94.9,   5.6,  16.6,  11.7,   7.0
TEC Connections Academy Commonwealth Virtual School District,39020000,  88.2,  11.4,  32.2,  33.7,  20.5
Tantasqua,07700000,  94.5,   5.9,  17.7,  15.5,   0.6
Taunton,02930000,  94.1,   6.4,  19.1,  14.3,  13.6
Tewksbury,02950000,  96.3,   4.1,   8.9,   7.5,   5.2
Tisbury,02960000,  93.6,   6.2,  21.0,  20.4,   0.0
Topsfield,02980000,  96.4,   4.0,   6.1,   2.9,   5.8
Tri-County Regional Vocational Technical,08780000,  94.7,   5.7,  17.0,  14.7,   0.0
Triton,07730000,  94.5,   5.7,  15.8,  13.2,   9.6
Truro,03000000,  93.2,   7.3,  22.2,  20.5,  22.2
Tyngsborough,03010000,  94.8,   5.7,  15.9,  11.1,   0.0
UP Academy Charter School of Boston (District),04800000,  93.4,   7.1,  23.2,  20.0,  16.0
UP Academy Charter School of Dorchester (District),35050000,  94.2,   6.4,  19.9,  17.0,  14.0
Up-Island Regional,07740000,  93.2,   7.1,  24.9,  21.5,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,  94.3,   6.2,  17.7,  13.9,   0.0
Uxbridge,03040000,  94.9,   5.3,  14.5,  12.9,   5.2
Veritas Preparatory Charter School (District),04980000,  94.2,   6.3,  20.7,  15.2,  11.8
Wachusett,07750000,  95.8,   4.5,  10.4,   8.2,   0.0
Wakefield,03050000,  95.5,   4.9,  12.4,  10.0,   0.0
Wales,03060000,  95.1,   5.1,  17.4,  18.1,  16.1
Walpole,03070000,  95.5,   5.0,  11.1,   7.7,   6.1
Waltham,03080000,  94.6,   5.8,  16.4,  15.3,  13.7
Ware,03090000,  94.6,   5.8,  16.7,  13.7,   6.2
Wareham,03100000,  94.4,   6.0,  18.5,  13.7,   3.5
Watertown,03140000,  94.8,   5.7,  15.3,  12.3,   0.0
Wayland,03150000,  97.0,   3.3,   5.2,   3.7,   0.1
Webster,03160000,  93.3,   7.0,  22.6,  21.0,   0.0
Wellesley,03170000,  95.9,   4.6,  11.3,   6.8,   0.0
Wellfleet,03180000,  91.9,   8.5,  33.0,  31.2,   6.4
West Boylston,03220000,  95.3,   5.0,  12.1,  10.3,  10.7
West Bridgewater,03230000,  95.8,   4.6,  10.5,   8.8,   5.7
West Springfield,03320000,  94.8,   5.5,  15.7,  14.0,   0.1
Westborough,03210000,  95.5,   4.9,  12.9,   9.7,   0.5
Westfield,03250000,  94.0,   6.4,  19.6,  17.1,   7.3
Westford,03260000,  96.4,   3.9,   8.3,   5.9,   0.1
Westhampton,03270000,  95.8,   4.5,  10.7,   6.6,   0.0
Weston,03300000,  96.9,   3.5,   7.0,   5.5,   0.0
Westport,03310000,  94.5,   6.0,  17.1,  11.9,   8.6
Westwood,03350000,  96.6,   3.6,   6.5,   4.9,   2.1
Weymouth,03360000,  94.5,   5.7,  15.4,  13.9,   9.3
Whately,03370000,  96.1,   4.2,   3.9,   3.1,   0.0
Whitman-Hanson,07800000,  95.4,   5.1,  12.2,   8.7,   7.5
Whittier Regional Vocational Technical,08850000,  95.8,   4.4,   9.3,   7.9,   5.6
Williamsburg,03400000,  95.8,   4.5,  15.5,  12.0,   0.0
Wilmington,03420000,  95.8,   4.5,  10.7,   8.4,   3.6
Winchendon,03430000,  93.1,   7.2,  22.2,  19.9,  13.4
Winchester,03440000,  96.1,   4.2,   8.7,   6.9,   4.9
Winthrop,03460000,  95.3,   5.1,  13.0,  11.2,   3.8
Woburn,03470000,  95.1,   5.1,  13.4,  11.7,  10.3
Worcester,03480000,  94.4,   5.9,  17.4,  15.6,  14.6
Worthington,03490000,  93.4,   6.9,  23.7,  24.7,   0.0
Wrentham,03500000,  95.3,   4.9,  11.9,  10.5,   0.0
State Totals,00000000,  94.7,   5.7,  16.0,  13.0,   6.8
