District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Collegiate Charter School of Lowell (District),35030000,  96.7,   3.8,   9.4,   6.5,   3.5
Community Charter School of Cambridge (District),04360000,  96.2,   4.2,   9.2,   7.6,   0.0
Community Day Charter Public School - Gateway (District),04260000,  96.1,   4.8,  11.2,   5.7,   0.0
Community Day Charter Public School - Prospect (District),04400000,  95.6,   5.3,  14.5,   7.5,   0.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,  95.6,   5.4,  17.0,   9.0,   0.0
Concord,00670000,  96.3,   4.0,   7.3,   5.6,   1.2
Concord-Carlisle,06400000,  95.5,   4.9,  13.6,  11.4,   0.5
Conservatory Lab Charter (District),04390000,  94.5,   6.1,  19.4,  13.2,  11.0
Conway,00680000,  95.2,   5.3,  15.0,   9.8,   0.0
Danvers,00710000,  95.3,   5.0,  13.1,  10.7,   0.0
Dartmouth,00720000,  95.8,   4.7,   9.9,   6.7,   4.5
Dedham,00730000,  94.9,   5.4,  14.2,  11.6,   0.0
Deerfield,00740000,  95.2,   5.3,  14.3,   9.7,   0.0
Dennis-Yarmouth,06450000,  94.8,   5.4,  15.3,  14.8,   7.5
Dighton-Rehoboth,06500000,  95.2,   5.1,  13.3,  10.5,   6.8
Douglas,00770000,  95.2,   5.1,  13.2,  11.2,   5.8
Dover,00780000,  95.8,   4.7,   9.6,   4.8,   7.0
Dover-Sherborn,06550000,  96.4,   4.0,   8.0,   4.7,   4.8
Dracut,00790000,  95.1,   5.2,  13.8,  11.6,  12.1
Dudley Street Neighborhood Charter School (District),04070000,  99.4,   0.7,   0.0,   0.0,   0.0
Dudley-Charlton Reg,06580000,  95.7,   4.7,  10.6,   7.5,   6.1
Duxbury,00820000,  95.9,   4.6,   8.6,   5.5,   2.2
East Bridgewater,00830000,  94.9,   5.6,  17.1,  10.8,  10.6
East Longmeadow,00870000,  95.3,   5.1,  13.3,   9.1,   0.0
Eastham,00850000,  93.7,   6.3,  24.5,  21.1,  10.8
Easthampton,00860000,  94.9,   5.4,  14.5,  12.6,   0.0
Easton,00880000,  95.9,   4.5,  10.4,   6.7,   1.9
Edgartown,00890000,  94.6,   5.6,  18.7,  14.5,   3.9
