District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Community Day Charter Public School - R. Kingman Webster (District),04310000,      41.0,  73.2,   9.7 to 1,,,
Concord,00670000,     174.1, 100.0,  11.9 to 1,,,
Concord-Carlisle,06400000,     103.5, 100.0,  12.4 to 1,,,
Conservatory Lab Charter (District),04390000,      26.0,  75.0,  17.4 to 1,,,
Conway,00680000,      12.6, 100.0,  10.6 to 1,,,
Danvers,00710000,     265.4, 100.0,  12.9 to 1,,,
Dartmouth,00720000,     273.5,  99.3,  13.1 to 1,,,
Dedham,00730000,     235.9, 100.0,  11.6 to 1,,,
Deerfield,00740000,      37.2,  97.3,  10.4 to 1,,,
Dennis-Yarmouth,06450000,     271.0,  99.6,  10.7 to 1,,,
Dighton-Rehoboth,06500000,     219.7,  99.5,  13.0 to 1,,,
Douglas,00770000,      99.9, 100.0,  12.8 to 1,,,
Dover,00780000,      40.4,  97.5,  12.1 to 1,,,
Dover-Sherborn,06550000,     103.5,  99.5,  11.6 to 1,,,
Dracut,00790000,     224.1,  99.1,  16.4 to 1,,,
Dudley Street Neighborhood Charter School (District),04070000,      21.0,  95.2,  12.9 to 1,,,
Dudley-Charlton Reg,06580000,     282.0, 100.0,  13.1 to 1,,,
Duxbury,00820000,     221.3,  99.7,  13.4 to 1,,,
East Bridgewater,00830000,     153.5, 100.0,  14.4 to 1,,,
East Longmeadow,00870000,     209.0,  99.5,  12.4 to 1,,,
Eastham,00850000,      20.8, 100.0,   9.3 to 1,,,
Easthampton,00860000,     116.6, 100.0,  13.2 to 1,,,
Easton,00880000,     257.6, 100.0,  13.9 to 1,,,
Edgartown,00890000,      43.7,  98.9,   9.0 to 1,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      36.8,  91.9,  10.5 to 1,,,
Erving,00910000,      19.2,  97.4,   6.9 to 1,,,
Essex North Shore Agricultural and Technical School District,08170000,     124.8,  95.3,  12.0 to 1,,,
Everett,00930000,     550.8,  99.3,  12.8 to 1,,,
Excel Academy Charter (District),04100000,     118.0,  78.3,  11.6 to 1,,,
Fairhaven,00940000,     146.0, 100.0,  14.0 to 1,,,
Fall River,00950000,     707.9,  94.6,  14.4 to 1,,,
Falmouth,00960000,     288.5,  99.0,  11.3 to 1,,,
Farmington River Reg,06620000,      12.2, 100.0,   8.6 to 1,,,
Fitchburg,00970000,     380.8,  97.9,  14.0 to 1,,,
Florida,00980000,      10.8,  81.5,   8.8 to 1,,,
Four Rivers Charter Public (District),04130000,      20.8,  59.1,  10.4 to 1,,,
Foxborough,00990000,     204.9, 100.0,  12.5 to 1,,,
Foxborough Regional Charter (District),04460000,     134.5,  86.3,  12.3 to 1,,,
Framingham,01000000,     703.2,  96.2,  12.9 to 1,,,
Francis W. Parker Charter Essential (District),04780000,      45.0,  68.0,   8.8 to 1,,,
Franklin,01010000,     394.5,  99.6,  12.8 to 1,,,
Franklin County Regional Vocational Technical,08180000,      51.6,  95.2,   9.8 to 1,,,
Freetown-Lakeville,06650000,     199.9, 100.0,  14.2 to 1,,,
Frontier,06700000,      52.3,  99.2,  12.5 to 1,,,
Gardner,01030000,     173.6,  98.5,  13.5 to 1,,,
Gateway,06720000,      81.3,  97.5,  10.2 to 1,,,
Georgetown,01050000,     107.3,  99.1,  12.7 to 1,,,
Gill-Montague,06740000,      85.9, 100.0,  10.8 to 1,,,
Global Learning Charter Public (District),04960000,      45.5,  91.2,  11.1 to 1,,,
Gloucester,01070000,     252.6,  98.4,  11.3 to 1,,,
Gosnold,01090000,        .0,   0.0,N/A,,,
Grafton,01100000,     237.9,  99.5,  13.5 to 1,,,
Granby,01110000,      60.4, 100.0,  12.5 to 1,,,
Greater Fall River Regional Vocational Technical,08210000,     128.0,  98.0,  11.2 to 1,,,
Greater Lawrence Regional Vocational Technical,08230000,     151.4,  92.1,  10.5 to 1,,,
Greater Lowell Regional Vocational Technical,08280000,     188.0,  98.9,  12.1 to 1,,,
Greater New Bedford Regional Vocational Technical,08250000,     173.9,  99.4,  12.2 to 1,,,
Greenfield,01140000,     153.9,  97.9,  11.2 to 1,,,
Greenfield Commonwealth Virtual District,39010000,      42.0, 100.0,  15.8 to 1,,,
Groton-Dunstable,06730000,     184.3, 100.0,  12.8 to 1,,,
Hadley,01170000,      50.0, 100.0,  10.6 to 1,,,
Halifax,01180000,      35.0, 100.0,  16.7 to 1,,,
Hamilton-Wenham,06750000,     146.6, 100.0,  12.5 to 1,,,
Hampden Charter School of Science East (District),04990000,      43.5,  72.4,  12.0 to 1,,,
Hampden Charter School of Science West (District),35160000,      26.2,  64.9,  10.0 to 1,,,
Hampden-Wilbraham,06800000,     211.6, 100.0,  14.2 to 1,,,
Hampshire,06830000,      74.6,  97.3,   9.8 to 1,,,
Hancock,01210000,       9.0,  88.9,   5.2 to 1,,,
Hanover,01220000,     194.3,  99.7,  13.6 to 1,,,
Harvard,01250000,      92.0, 100.0,  11.4 to 1,,,
Hatfield,01270000,      41.7,  96.6,  10.3 to 1,,,
Haverhill,01280000,     598.9,  98.7,  13.5 to 1,,,
Hawlemont,06850000,      12.0, 100.0,  11.9 to 1,,,
Helen Y. Davis Leadership Academy Charter Public (District),04190000,      17.0,  35.3,  12.2 to 1,,,
Hill View Montessori Charter Public (District),04550000,      21.0,  66.7,  14.6 to 1,,,
Hilltown Cooperative Charter Public (District),04500000,      19.7,  87.6,  11.1 to 1,,,
Hingham,01310000,     299.8,  99.7,  14.2 to 1,,,
Holbrook,01330000,      92.9,  98.9,  14.1 to 1,,,
Holland,01350000,      16.4, 100.0,  14.1 to 1,,,
Holliston,01360000,     212.5,  99.4,  13.7 to 1,,,
Holyoke,01370000,     395.6,  85.5,  13.5 to 1,,,
Holyoke Community Charter (District),04530000,      43.0,  72.1,  16.3 to 1,,,
Hoosac Valley Regional,06030000,      86.0,  95.4,  12.8 to 1,,,
Hopedale,01380000,      97.2, 100.0,  11.1 to 1,,,
Hopkinton,01390000,     268.1,  99.4,  14.4 to 1,,,
Hudson,01410000,     229.0,  97.8,  11.2 to 1,,,
Hull,01420000,      82.1, 100.0,  10.4 to 1,,,
Innovation Academy Charter (District),04350000,      69.8,  91.1,  11.4 to 1,,,
Ipswich,01440000,     156.1, 100.0,  10.8 to 1,,,
KIPP Academy Boston Charter School (District),04630000,      40.0,  73.8,  14.5 to 1,,,
KIPP Academy Lynn Charter (District),04290000,     106.9,  66.4,  15.0 to 1,,,
King Philip,06900000,     135.8, 100.0,  14.6 to 1,,,
Kingston,01450000,      68.2, 100.0,  15.6 to 1,,,
Lawrence,01490000,"   1,118.8",  93.5,  12.1 to 1,,,
Lawrence Family Development Charter (District),04540000,      63.0,  92.1,  12.4 to 1,,,
Lee,01500000,      71.2, 100.0,  10.0 to 1,,,
Leicester,01510000,     105.1,  98.1,  14.2 to 1,,,
Lenox,01520000,      79.5, 100.0,   9.8 to 1,,,
Leominster,01530000,     438.6,  98.4,  13.9 to 1,,,
Leverett,01540000,      16.9, 100.0,   8.4 to 1,,,
